Title,Company Name,Location,Start Date,Duration,Stipend,Status,skills required,apply by,about the internship,who can apply,About the company,End Date
Business Development (Sales),GuidedSuccessAcademy,Dehradun,2025-10-05,2 months,"₹ 5,000 /month",3 weeks ago,"Lead Generation, Sales, Communication, CRM Tools",2025-09-28,"As a Business Development (Sales), you will gain practical exposure during this Starts immediatelyImmediately internship while working on real-world projects and building skills.",Students from any stream with interest in business/management may apply.,GuidedSuccessAcademy is a growing organization that provides opportunities for students to gain industry exposure and hands-on skills in their respective domains.,2025-12-04
Front Desk Executive,Reachlovenheal Private Limited,Pune,2025-10-05,2 months,"₹ 5,000 /month",3 weeks ago,"Relevant domain knowledge, Communication, and Problem-Solving",2025-09-28,"As a Front Desk Executive, you will gain practical exposure during this Starts immediatelyImmediately internship while working on real-world projects and building skills.",Students with relevant domain knowledge and interest in the role may apply.,Reachlovenheal Private Limited is a growing organization that provides opportunities for students to gain industry exposure and hands-on skills in their respective domains.,2025-12-04
Graphic Design,Ep.Log Media,Mumbai,2025-10-05,2 months,"₹ 5,000-10,000 /month",3 weeks ago,"CorelDRAW, Photoshop, UI/UX Tools",2025-09-28,"As a Graphic Design, you will gain practical exposure during this Starts immediatelyImmediately internship while working on real-world projects and building skills.",Students with creative/design/content skills from any stream may apply.,Ep.Log Media is a growing organization that provides opportunities for students to gain industry exposure and hands-on skills in their respective domains.,2025-12-04
Stock Market Management,Growthclues,Work From Home,2025-10-05,2 months,"₹ 1,000-4,000 /month",3 weeks ago,"Relevant domain knowledge, Communication, and Problem-Solving",2025-09-28,"As a Stock Market Management, you will gain practical exposure during this Starts immediatelyImmediately internship while working on real-world projects and building skills.",Students from any stream with interest in business/management may apply.,Growthclues is a growing organization that provides opportunities for students to gain industry exposure and hands-on skills in their respective domains.,2025-12-04
Graphic Design,Fay Wear Private Limited,Gurgaon,2025-10-05,2 months,"₹ 10,000 /month",3 weeks ago,"CorelDRAW, Photoshop, UI/UX Tools",2025-09-28,"As a Graphic Design, you will gain practical exposure during this Starts immediatelyImmediately internship while working on real-world projects and building skills.",Students with creative/design/content skills from any stream may apply.,Fay Wear Private Limited is a growing organization that provides opportunities for students to gain industry exposure and hands-on skills in their respective domains.,2025-12-04
Graphic Design,Never Grow Up,Mumbai,2025-10-05,2 months,"₹ 10,000 /month",3 weeks ago,"CorelDRAW, Photoshop, UI/UX Tools",2025-09-28,"As a Graphic Design, you will gain practical exposure during this Starts immediatelyImmediately internship while working on real-world projects and building skills.",Students with creative/design/content skills from any stream may apply.,Never Grow Up is a growing organization that provides opportunities for students to gain industry exposure and hands-on skills in their respective domains.,2025-12-04
Telecalling,Classpro,Work From Home,2025-10-05,2 months,"₹ 7,000 /month",3 weeks ago,"Relevant domain knowledge, Communication, and Problem-Solving",2025-09-28,"As a Telecalling, you will gain practical exposure during this Starts immediatelyImmediately internship while working on real-world projects and building skills.",Students with relevant domain knowledge and interest in the role may apply.,Classpro is a growing organization that provides opportunities for students to gain industry exposure and hands-on skills in their respective domains.,2025-12-04
Flutter Development,Kartavya Technology,Work From Home,2025-10-05,2 months,"₹ 10,000 /month",3 weeks ago,"Relevant domain knowledge, Communication, and Problem-Solving",2025-09-28,"As a Flutter Development, you will gain practical exposure during this Starts immediatelyImmediately internship while working on real-world projects and building skills.",Students with relevant domain knowledge and interest in the role may apply.,Kartavya Technology is a growing organization that provides opportunities for students to gain industry exposure and hands-on skills in their respective domains.,2025-12-04
Social Entrepreneurship (Part Time/Remote),Hamari Pahchan NGO,Work From Home,2025-10-05,2 months,10% of Revenue Generated,3 weeks ago,"Relevant domain knowledge, Communication, and Problem-Solving",2025-09-28,"As a Social Entrepreneurship (Part Time/Remote), you will gain practical exposure during this Starts immediatelyImmediately internship while working on real-world projects and building skills.",Students with relevant domain knowledge and interest in the role may apply.,Hamari Pahchan NGO is a growing organization that provides opportunities for students to gain industry exposure and hands-on skills in their respective domains.,2025-12-04
WordPress Development,Minus Equals Plus,"Vagator, Panjim, Mapusa, Goa Velha, Anjuna",2025-10-05,2 months,"₹ 3,000 /month",3 weeks ago,"Relevant domain knowledge, Communication, and Problem-Solving",2025-09-28,"As a WordPress Development, you will gain practical exposure during this Starts immediatelyImmediately internship while working on real-world projects and building skills.",Students with relevant domain knowledge and interest in the role may apply.,Minus Equals Plus is a growing organization that provides opportunities for students to gain industry exposure and hands-on skills in their respective domains.,2025-12-04
Digital Marketing/Sales,Colortext Digital Solutions Private Limited,"Bangalore, Gurgaon",2025-10-05,2 months,"₹ 5,000-10,000 /month",3 weeks ago,"Sales, Negotiation, CRM Tools, Communication",2025-09-28,"As a Digital Marketing/Sales, you will gain practical exposure during this Starts immediatelyImmediately internship while working on real-world projects and building skills.",Students from any stream with interest in business/management may apply.,Colortext Digital Solutions Private Limited is a growing organization that provides opportunities for students to gain industry exposure and hands-on skills in their respective domains.,2025-12-04
Social Work,Marpu Foundation,Work From Home,2025-10-05,2 months,Unpaid,3 weeks ago,"Relevant domain knowledge, Communication, and Problem-Solving",2025-09-28,"As a Social Work, you will gain practical exposure during this Starts immediatelyImmediately internship while working on real-world projects and building skills.",Students with relevant domain knowledge and interest in the role may apply.,Marpu Foundation is a growing organization that provides opportunities for students to gain industry exposure and hands-on skills in their respective domains.,2025-12-04
Graphic Design,QuadB Tech,Ludhiana,2025-10-05,2 months,"₹ 10,000-20,000 /month",3 weeks ago,"CorelDRAW, Photoshop, UI/UX Tools",2025-09-28,"As a Graphic Design, you will gain practical exposure during this Starts immediatelyImmediately internship while working on real-world projects and building skills.",Students with creative/design/content skills from any stream may apply.,QuadB Tech is a growing organization that provides opportunities for students to gain industry exposure and hands-on skills in their respective domains.,2025-12-04
Field Sales,Bonanza Portfolio Limited,Kalyan,2025-10-05,2 months,"₹ 5,000 /month +  Incentives",3 weeks ago,"Sales, Negotiation, CRM Tools, Communication",2025-09-28,"As a Field Sales, you will gain practical exposure during this Starts immediatelyImmediately internship while working on real-world projects and building skills.",Students from any stream with interest in business/management may apply.,Bonanza Portfolio Limited is a growing organization that provides opportunities for students to gain industry exposure and hands-on skills in their respective domains.,2025-12-04
